AUD,Dólar australiano,A$
BGN,Lev búlgaro,Лв
BRL,Real brasileño,R$
CAD,Dólar canadiense,C$
CHF,Franco suizo,SFr
CNY,Yuan chino,¥
CZK,Corona checa,Kč
DKK,Corona danesa,kr
GBP,Libra esterlina,£
HKD,Dólar de Hong Kong,HK$
HRK,Kuna croata,kn
HUF,Forinto húngaro,Ft
IDR,Rupia indonesia,Rp
ILS,Nuevo shéquel israelí,₪
INR,Rupia india,₹
ISK,Corona islandesa,kr
JPY,Yen,¥
KRW,Won surcoreano,₩
MXN,Peso mexicano,$
MYR,Ringgit malayo,RM
NOK,Corona noruega,kr
NZD,Dólar neozelandés,NZ$
PHP,Peso filipino,₱
PLN,Złoty,zł
RON,Leu rumano,RON
RUB,Rublo ruso,руб
SEK,Corona sueca,kr
SGD,Dólar de Singapur,S$
THB,Baht tailandés,฿
TRY,Lira turca,TL
USD,Dólar estadounidense,$
ZAR,Rand sudafricano,R
